,Barcelona - Palau Reial,Barcelona - Observ Fabra,Barcelona - SOLIDARITAT,Barcelona - Gràcia,Barcelona - Eixample,Barcelona - Ciutadella,Barcelona - Poblenou,Barcelona - Sants,Barcelona - Vall Hebron,session
2018-10-04 00:00:00,10,2,4,9,16,10,23,10,14,Night
2018-10-04 01:00:00,8,2,5,8,16,9,22,9,12,Night
2018-10-04 02:00:00,7,2,5,5,16,17,22,6,8,Night
2018-10-04 03:00:00,6,1,5,5,16,18,21,6,7,Night
2018-10-04 04:00:00,6,0,2,4,11,15,19,5,7,Night
2018-10-04 05:00:00,6,0,4,6,10,11,16,4,7,Night
2018-10-04 06:00:00,7,0,5,6,10,8,16,11,8,Night
2018-10-04 07:00:00,8,0,5,14,15,9,18,16,7,Night
2018-10-04 08:00:00,11,1,4,20,19,16,21,19,9,Night
2018-10-04 09:00:00,17,1,5,21,20,21,20,21,12,Day
2018-10-04 10:00:00,15,5,8,16,19,19,20,20,8,Day
2018-10-04 11:00:00,10,5,10,16,17,16,20,14,8,Day
2018-10-04 12:00:00,8,5,8,16,14,4,13,6,8,Day
2018-10-04 13:00:00,7,4,6,16,13,3,12,5,6,Day
2018-10-04 14:00:00,9,5,8,16,13,1,12,9,6,Day
2018-10-04 15:00:00,10,7,11,16,13,1,11,11,6,Day
2018-10-04 16:00:00,10,7,10,12,13,1,11,12,7,Day
2018-10-04 17:00:00,9,5,8,10,13,2,11,8,6,Day
2018-10-04 18:00:00,7,2,7,12,13,3,10,4,6,Day
2018-10-04 19:00:00,8,5,8,13,13,4,10,6,7,Day
2018-10-04 20:00:00,7,4,9,12,13,4,10,8,7,Day
2018-10-04 21:00:00,7,3,5,15,13,4,9,7,8,Night
2018-10-04 22:00:00,7,2,5,8,14,4,9,7,7,Night
2018-10-04 23:00:00,6,3,8,7,11,4,9,6,8,Night
2018-10-05 00:00:00,9,3,7,12,12,8,13,8,10,Night
2018-10-05 01:00:00,8,2,4,14,12,11,17,8,11,Night
2018-10-05 02:00:00,7,0,4,10,12,16,18,8,7,Night
2018-10-05 03:00:00,5,0,3,9,10,6,15,8,6,Night
2018-10-05 04:00:00,5,0,2,6,10,4,10,8,5,Night
2018-10-05 05:00:00,6,0,3,5,9,3,10,8,5,Night
2018-10-05 06:00:00,6,0,5,6,9,4,11,8,5,Night
2018-10-05 07:00:00,8,0,3,10,14,6,14,8,7,Night
2018-10-05 08:00:00,13,0,3,21,19,13,17,16,10,Night
2018-10-05 09:00:00,19,0,5,24,21,19,17,24,13,Day
2018-10-05 10:00:00,18,0,2,19,18,19,17,24,8,Day
2018-10-05 11:00:00,7,2,6,16,15,14,16,10,7,Day
2018-10-05 12:00:00,8,2,5,20,15,8,13,11,7,Day
2018-10-05 13:00:00,9,3,8,17,14,3,9,7,6,Day
2018-10-05 14:00:00,7,3,8,10,13,2,9,6,6,Day
2018-10-05 15:00:00,9,2,5,8,11,1,9,11,5,Day
2018-10-05 16:00:00,9,2,6,11,13,2,9,11,5,Day
2018-10-05 17:00:00,10,2,6,11,14,1,10,13,5,Day
2018-10-05 18:00:00,9,4,6,11,17,2,10,10,6,Day
2018-10-05 19:00:00,9,8,10,11,17,2,11,10,6,Day
2018-10-05 20:00:00,11,4,8,11,17,4,12,10,6,Day
2018-10-05 21:00:00,9,4,6,13,15,6,12,8,7,Night
2018-10-05 22:00:00,9,4,7,12,15,5,12,8,7,Night
2018-10-05 23:00:00,11,4,8,13,13,6,14,8,15,Night
2018-10-06 00:00:00,12,5,10,13,14,10,19,8,10,Night
2018-10-06 01:00:00,11,4,7,12,14,18,19,8,8,Night
2018-10-06 02:00:00,9,2,5,13,12,9,18,8,9,Night
2018-10-06 03:00:00,6,2,7,10,11,5,15,8,8,Night
2018-10-06 04:00:00,6,2,4,8,14,6,15,5,11,Night
2018-10-06 05:00:00,6,4,8,6,13,8,15,5,11,Night
2018-10-06 06:00:00,6,4,6,7,12,11,14,4,9,Night
2018-10-06 07:00:00,6,4,8,10,12,11,14,5,9,Night
